,TotalEmployees,TotalEmployeesIndia,Rating,UrlName,CompanyType,Name,CompanyReviewsLive,CompanySalaries,InterviewExperiencesLive,Age,ShortName,Logo,HQCountry,headquaters,CompanyJobsLive,HQUrlName,CompanyId,location_count,industry_string,Subscribed
1813,,,4.64,mits-global-consulting-private-limited,,MITS GLOBAL CONSULTING PRIVATE LIMITED,251,216,1,0,MITS GLOBAL CONSULTING,,,,0,,522245,7,Recruitment / Staffing,0
1814,1001-5000,1001-5000,3.3,pinnacle-infotech,,Pinnacle Infotech,251,1063,17,30,	Pinnacle Infotech,pinnacle-infotech,United States (USA),"Houston,Texas",20,,591470,8,IT Services & Consulting,0
1815,5001-10000,1001-5000,4.27,blue-yonder,Private,Blue Yonder,251,2976,8,37,Blue Yonder,blue-yonder,United States (USA),"Scottsdale,Arizona",160,,724555,8,Software Product,0
1816,201-500,201-500,4.42,silverlink-technologies,Private,Silverlink Technologies,251,125,5,19,Silverlink Technologies,silverlink-technologies,India,"Mumbai,Maharashtra",135,mumbai,5154,13,IT Services & Consulting,0
1817,501-1000,501-1000,4.59,reliance-home-finance,Public,Reliance Home Finance,250,566,0,14,Reliance Home Finance,reliance-home-finance-267805,India,"Mumbai,Maharashtra",0,mumbai,267805,45,"Financial Services,NBFC",0
1818,1001-5000,1001-5000,3.9,zee-entertainment-enterprises,Public,zee entertainment enterprises ltd,250,1730,9,30,Zee Entertainment Enterprises,zee-entertainment-enterprises,India,Mumbai,48,mumbai,290881,27,"Media & Entertainment / Publishing,TV / Radio",0
1819,1001-5000,501-1000,4.22,share-microfin,Private,SHARE Microfin,250,452,2,33,SHARE Microfin,share-microfin,India,"Hyderabad/Secunderabad,Telangana",6,hyderabad,36944,93,Financial Services,0
1820,50001-100000,1001-5000,4.09,delta-electronics,Private,Delta Electronics,250,1430,12,30,Delta Electronics,delta-electronics,India,"Gurgaon/Gurugram,Haryana",0,,25370,31,"Manufacturing,Electronics,Electronics Manufacturing",0
1821,1001-5000,1001-5000,4.07,tribhovandas-bhimji-zaveri,Public,Tribhovandas Bhimji Zaveri,250,618,1,158,Tribhovandas Bhimji Zaveri,tribhuvandas-bhimji-zaveri-and-sons,India,"Mumbai,Maharashtra",8,mumbai,200737,31,"Gems & Jewellery,Retail",0
1822,1001-5000,1001-5000,4.09,grindwell-norton,Public,Grindwell Norton,250,963,9,81,Grindwell Norton,grindwell-norton,India,"Mumbai,Maharashtra",0,mumbai,202467,25,"Industrial Equipment / Machinery,Engineering & Construction",0
1823,50001-100000,501-1000,4.3,db-schenker,Private,DB Schenker,250,984,3,32,DB Schenker,db-schenker,Germany,Essen,19,,168513,23,"Logistics / Shipping,Courier / Logistics",0
1824,501-1000,201-500,2.16,lido-learning,,Lido Learning,250,1510,56,3,Lido Learning,lido-learning,India,"Mumbai,Maharashtra",12,,680947,16,"Internet,Education / Training,e-Learning / EdTech",0
1825,1001-5000,501-1000,4.36,bitwise-solutions,Private,Bitwise Solutions,250,1703,9,26,Bitwise Solutions,bitwise-solutions,United States (USA),"Schaumburg,Chicago",18,,229399,0,"Analytics / KPO / Research,IT Services & Consulting",0
1826,501-1000,501-1000,4.73,capital-numbers-infotech,Private,Capital Numbers Infotech,249,426,6,10,Capital Numbers Infotech,capital-alliance,India,"Kolkata,West Bengal",6,kolkata,241582,2,"IT Services & Consulting,Software Product,Advertising & Marketing",0
1827,10001-50000,1001-5000,3.89,andritz,Private,Andritz,249,1212,8,26,Andritz,andritz,Austria,"Graz,Steiermark",38,,25472,10,"Chemicals / Agri Inputs,Iron & Steel,Industrial Equipment / Machinery,Engineering & Construction",0
1828,1001-5000,,3.52,vlcc-personal-care-ltd,Private,VLCC Personal Care Ltd,249,735,3,33,VLCC Personal Care,vlcc-personal-care-ltd,India,Gurugram,0,gurgaon,279692,48,"Beauty & Wellness,Consumer goods,Beauty & Personal Care",0
1829,5001-10000,5001-10000,3.84,cams,,CAMS,249,1245,16,34,CAMS,cams,India,Chennai,2,chennai,284491,29,"Internet,IT Services & Consulting",0
1830,501-1000,501-1000,4.21,crystal-crop-protection,Public,Crystal Crop Protection,249,827,3,42,CRYSTAL CROP PROTECTION,crystal-crop-protection,India,"Delhi/NCR,New Delhi",0,,24274,46,"Chemicals / Agri Inputs,Manufacturing,Fertilizers / Pesticides / Agro chemicals",0
1831,10001-50000,501-1000,4.31,rswm,Public,RSWM,249,698,8,61,RSWM,rswm,India,Noida,0,noida,20159,24,"Manufacturing,Textile & Apparel,IT Services & Consulting",0
1832,501-1000,1001-5000,3.85,idbi-intech,Private,IDBI Intech,249,1319,7,22,IDBI Intech,idbi-intech,India,"Navi Mumbai,Maharashtra",15,navi-mumbai,3822,19,IT Services & Consulting,0
1833,501-1000,1001-5000,4.02,chaayos,Private,Chaayos,249,709,15,10,Chaayos,chaayos-286471,India,"Delhi,NCT",30,,286471,15,"FMCG,Hotels & Restaurants",0
1834,5001-10000,1001-5000,4.2,systra-consulting,Private,Systra MVA Consulting,249,909,12,65,Systra Consulting,systra_mva_consulting,India,"Faridabad,Haryana",28,faridabad,192,23,"Consulting,Urban Transport",0
1835,1001-5000,501-1000,4.35,v-xpress,Private,V-Xpress,248,607,7,20,V-Xpress,v-xpress,India,"Chembur,Maharashtra",2,mumbai,170005,55,"Logistics / Shipping,Courier / Logistics",0
1836,1001-5000,1001-5000,4.07,greenlam-industries,Public,Greenlam Industries,248,1006,9,9,Greenlam Industries,greenlam-industries,India,"Delhi/NCR,Delhi",9,delhi-ncr,214464,39,"Design,Furniture & Furnishing,Import & Export,Manufacturing",0
1837,10001-50000,501-1000,4.48,mccain-foods,Private,McCain Foods,248,667,8,26,McCain Foods,mccain-foods,Canada,Toronto,29,,161776,41,"Food Processing,Manufacturing",0
1838,1001-5000,501-1000,3.9699999999999998,khadims,Public,Khadims,248,841,3,57,Khadims,khadims,India,"Kolkata,West Bengal",0,kolkata,303785,40,"Manufacturing,Retail",0
1839,1001-5000,1001-5000,4.37,mars-international-india-private-limited,626540,Mars International India Private Limited,248,914,10,28,Mars International India,mars-international-india-private-limited,United States (USA),McLean,3,,517796,46,"Food Processing,Legal",0
