,TotalEmployees,TotalEmployeesIndia,Rating,UrlName,CompanyType,Name,CompanyReviewsLive,CompanySalaries,InterviewExperiencesLive,Age,ShortName,Logo,HQCountry,headquaters,CompanyJobsLive,HQUrlName,CompanyId,location_count,industry_string,Subscribed
1840,501-1000,501-1000,2.99,tracxn,Private,Tracxn,248,1056,29,9,Tracxn,tracxn,India,"Bangalore,Karnataka",73,,632,4,"Internet,Software Product",0
1841,5001-10000,1001-5000,4.31,fidelity-international,Private,Fidelity International,248,2100,11,53,Fidelity International,fidelity-international,United Kingdom (UK),London,19,,153048,7,Financial Services,0
1842,5001-10000,501-1000,4.14,guidehouse,Private,Guidehouse,248,1312,11,19,Guidehouse,guidehouse,India,"Trivandrum/Thiruvananthapuram,Kerala",136,thiruvananthapuram,729029,7,"Consulting,BPO / Call Centre",0
1843,10001-50000,501-1000,3.91,rockwell-automation,Private,Rockwell Automation,318,1903,25,119,Rockwell Automation,rockwell-automation,United States (USA),"Milwaukee,Wisconsin",32,,3811,15,"Automobile,Chemicals / Agri Inputs,Manufacturing,Industrial Automation",0
1844,10001-50000,1001-5000,4.06,emerson-network-power,Public,Emerson Network Power,247,764,1,132,Emerson Network Power,emerson-network-power,United States (USA),"St. Louis,Missouri",0,,283670,36,"Architecture / Interior Design,Power,Miscellaneous,IT Services & Consulting",0
1845,1001-5000,501-1000,3.99,eta-engineering,Private,ETA Engineering,247,556,3,28,ETA Engineering,eta-engineering,India,"Chennai,Tamil Nadu",0,chennai,377570,18,"Manufacturing,Engineering & Construction",0
1846,1001-5000,501-1000,4.25,eurokids,Private,Eurokids,247,971,3,21,Eurokids,eurokids,India,"Mumbai,Maharashtra",1,mumbai,9246,45,Education / Training,0
1847,51-200,501-1000,4.25,cuelearn,Private,Cuelearn,247,996,12,11,Cuemath,cuelearn,India,"Bangalore,Karnataka",74,,203132,17,"Internet,e-Learning / EdTech",0
1848,1001-5000,1001-5000,3.62,comviva-technology,Private,Comviva Technology,247,2334,12,23,Comviva Technology,comviva-technology,India,"Gurgaon,Haryana",31,,152874,13,"Internet,Telecom / ISP,IT Services & Consulting",0
1849,1001-5000,1001-5000,3.58,jamna-auto-industries,Public,Jamna Auto Industries,247,891,4,68,Jamna Auto Industries,jamna-auto-industries,India,"Yamunanagar,Haryana",0,yamunanagar,164710,25,"Automobile,Manufacturing,Auto Components",0
1850,501-1000,501-1000,4.0,aloha-technology,Private,Aloha Technology,247,930,4,19,Aloha Technology,aloha-technology,India,"Pune,Maharashtra",11,pune,24315,7,IT Services & Consulting,0
1851,10001-50000,1001-5000,4.05,the-park-hotels,Private,The Park Hotels,247,902,4,55,The Park Hotels,the-park-hotels,India,"Kolkata,West Bengal",0,kolkata,5190,18,"Travel & Tourism / Hospitality,Hotels & Restaurants",0
1852,10001-50000,201-500,3.8,legrand,Private,Legrand,440,968,5,162,Legrand,legrand,France,"Limoges,Limoges",5,,157805,36,"Manufacturing,Electronics,Electrical Equipment",0
1853,501-1000,1001-5000,3.95,onward-eservices,Public,Onward eServices,246,826,0,19,Onward eServices,onward-eservices,India,"Mumbai,Maharashtra",0,mumbai,255216,39,"Recruitment / Staffing,IT Services & Consulting",0
1854,1001-5000,501-1000,4.06,blk-super-speciality-hospital,Private,BLK Super Speciality Hospital,246,752,7,63,BLK Super Speciality Hospital,blk-super-speciality-hospital,India,"Delhi/NCR,New Delhi",0,,239283,3,Medical Services / Hospital,0
1855,5001-10000,201-500,3.41,prama-hikvision-india,Private,prama hikvision india pvt. ltd,246,1267,16,13,Prama Hikvision India,prama-hikvision-india,China,Hangzhou,18,,293039,35,"Manufacturing,Electronics,Analytics / KPO / Research,Electronic Components / Semiconductors",0
1856,1001-5000,1001-5000,4.15,adani-green-energy,Private,Adani Green Energy  Ltd.,246,1312,19,7,Adani Green Energy,adani-green-energy-312912,India,"Ahmedabad,Gujrat",0,,312912,30,Power,0
1857,1001-5000,1001-5000,4.02,you-broadband,Public,You broadband,246,682,2,21,You Broadband,you-broadband,India,"Mumbai,Maharashtra",28,mumbai,300649,23,Telecom / ISP,0
1858,1001-5000,51-200,3.02,greet-technologies,Private,Greet Technologies,246,723,4,31,Greet Technologies,greet-technologies,India,"Bangalore/Bengaluru,Karnataka",0,bengaluru,18976,4,"BPO/KPO,Recruitment / Staffing",0
1859,201-500,51-200,4.06,kissht-finance,Private,kissht finance,246,1066,10,7,Kissht Finance,kissht-finance-532925,India,"Mumbai,Maharashtra",13,,532925,44,"Financial Services,Internet,FinTech / Payments",0
1860,11-50,1001-5000,4.05,digit-insurance,Private,Digit Insurance,246,1355,16,6,Digit Insurance,digit-insurance-474252,India,"Bangalore,Karnataka",17,,474252,37,"Internet,Insurance,Software Product",0
1861,201-500,201-500,3.26,acadecraft,Private,Acadecraft,246,539,30,11,Acadecraft,acadecraft,India,"Noida,Uttar Pradesh",47,noida,161427,9,e-Learning / EdTech,0
1862,501-1000,501-1000,3.8,asg-eye-hospital,Private,ASG Eye Hospital,246,691,10,17,ASG Eye Hospital,asg-eye-hospital,India,Jodhpur,119,jodhpur,199240,42,Medical Services / Hospital,0
1863,1001-5000,501-1000,4.25,consolidated-construction-consortium,Public,Consolidated Construction Consortium,245,662,6,25,Consolidated Construction Consortium,consolidated-construction-consortium,India,"Chennai,Tamil Nadu",0,chennai,201325,25,Engineering & Construction,0
1864,51-200,201-500,3.98,nowfloats-technologies-pvt-ltdnagpur,Private,"Nowfloats Technologies Pvt. LTD,Nagpur",245,557,6,10,Nowfloats Technologies,nowfloats-technologies-pvt-ltdnagpur,India,"Hyderabad,Telangana",15,,304195,35,"Internet,Software Product",0
1865,501-1000,1001-5000,3.49,reliance-life-sciences,Private,Reliance Life Sciences,245,1125,8,21,Reliance Life Sciences,reliance-life-sciences,India,"Mumbai,Maharashtra",0,mumbai,2604,24,"Financial Services,Clinical Research / Contract Research,Pharmaceutical & Life Sciences",0
1866,1001-5000,1001-5000,3.39,akumentis-healthcare-ltd,Private,Akumentis Healthcare Ltd,245,586,7,12,Akumentis Healthcare,akumentis-healthcare-ltd,India,"Thane,Maharashtra",2,,279999,34,Pharmaceutical & Life Sciences,0
1867,501-1000,201-500,4.79,codeclouds-it-solutions,Private,Codeclouds IT Solutions,245,354,2,13,CodeClouds,codeclouds-it-solutions,New Zealand,"Pipitea,Wellington",3,,3810,3,"Hardware & Networking,IT Services & Consulting",0
1868,10001-50000,1001-5000,4.33,mckinsey-and-company,Private,McKinsey & Company,309,2823,154,96,McKinsey & Company,mckinsey-and-amp-company,United States (USA),"New York,New York",5,,153011,6,"Consulting,Management Consulting",0
1869,10001-50000,1001-5000,3.39,broadcom,Private,Broadcom,253,1227,11,46,Broadcom,broadcom,United States (USA),"San Jose,California",31,,196,3,"Manufacturing,Electronics,Emerging Technologies,IT Services & Consulting,Software Product",0
